,given_product_title,given_product,given_product_img_url,recommended_product_title,recommended_product,recommended_product_img_url,euclidian_distance
1,termichy womens leather zipper clutch wallet wrist strap card coin phone checkbook holder  elegant blue ,B010WL9F9S,https://images-na.ssl-images-amazon.com/images/I/71Ka%2BOqqSGL._AC_UX695_.jpg,termichy women soft genuine leather zipper around clutch long wallet wrist strap card coin phone checkbook holder bud green ,B010WL9EOO,https://images-na.ssl-images-amazon.com/images/I/61TP-rhJ3HL._AC_SX679_.jpg,0.4707840383052826
2,termichy womens leather zipper clutch wallet wrist strap card coin phone checkbook holder  elegant blue ,B010WL9F9S,https://images-na.ssl-images-amazon.com/images/I/71Ka%2BOqqSGL._AC_UX695_.jpg,heshe womens soft cowhide leather purse organizer long wallet zipper arround clutch card holder money clip brown ,B00G8INO92,https://images-na.ssl-images-amazon.com/images/I/01RmK%2BJ4pJL._AC_.gif,0.5992319583892822
3,termichy womens leather zipper clutch wallet wrist strap card coin phone checkbook holder  elegant blue ,B010WL9F9S,https://images-na.ssl-images-amazon.com/images/I/71Ka%2BOqqSGL._AC_UX695_.jpg,heshe womens leather wallets long zippered around handbag card case holder money clip wallet ,B00G8INOA6,https://images-na.ssl-images-amazon.com/images/I/81b2jaEM0cL._AC_UX695_.jpg,0.6569716334342957
4,termichy womens leather zipper clutch wallet wrist strap card coin phone checkbook holder  elegant blue ,B010WL9F9S,https://images-na.ssl-images-amazon.com/images/I/71Ka%2BOqqSGL._AC_UX695_.jpg,teemzone mens genuine leather business clutch wrist bag handbag organizer card cash holder ,B00DQ55FOW,https://images-na.ssl-images-amazon.com/images/I/71e4Xamer5L._AC_UY695_.jpg,0.6774637699127197
5,termichy womens leather zipper clutch wallet wrist strap card coin phone checkbook holder  elegant blue ,B010WL9F9S,https://images-na.ssl-images-amazon.com/images/I/71Ka%2BOqqSGL._AC_UX695_.jpg,pooqdo newest functional women ladies card crown holder wallet leather clutch purse bag pink ,B00HNR4LSU,https://images-na.ssl-images-amazon.com/images/I/41GEo7Q%2BOlL._AC_.jpg,0.6956825852394104
7,moda xloop hd vision black high definition anti glare lens sunglasses black 4098a ,B006HBYDP4,,kenneth cole reaction rimless sunglass silver black black barblack templessmoke gradient lenses kc1126 10b ,B00JP3VPCU,https://images-na.ssl-images-amazon.com/images/I/61R82-u9nHL._AC_UX695_.jpg,0.692463755607605
8,moda xloop hd vision black high definition anti glare lens sunglasses black 4098a ,B006HBYDP4,,swg eyewear celebrity p1863 black quality sunglasses uv400 lens light weight frame purple black gradient lens women ,B005LMAEDU,https://images-na.ssl-images-amazon.com/images/I/71y4tj7KFwL._AC_UY695_.jpg,0.7080609202384949
9,moda xloop hd vision black high definition anti glare lens sunglasses black 4098a ,B006HBYDP4,,vuarnet sunglasses vl 0109 0003 2121 matte black  white brown px 2000 lenses ,B00QMXDVBY,https://images-na.ssl-images-amazon.com/images/I/81PHf%2BEDhaL._AC_UX679_.jpg,0.7256897687911987
10,moda xloop hd vision black high definition anti glare lens sunglasses black 4098a ,B006HBYDP4,,versace sunglasses 4253 black gb187 ve4253 ,B00CF3B06I,https://images-na.ssl-images-amazon.com/images/I/71bualdCVhL._AC_UX466_.jpg,0.7350919842720032
11,moda xloop hd vision black high definition anti glare lens sunglasses black 4098a ,B006HBYDP4,,versace ve4267  gb111 black sunglasses 57mm ,B00GS8G5JI,https://images-na.ssl-images-amazon.com/images/I/51hoCAn8%2BsL._AC_UX695_.jpg,0.7350919842720032
13,frye womens harness americana short boot ,B00B194XUW,https://images-na.ssl-images-amazon.com/images/I/81snmwXMqgL._AC_UY395_.jpg,frye womens carmen harness short boot ,B006NAIPNK,https://images-na.ssl-images-amazon.com/images/I/71O8bpGCm8L._AC_UY695_.jpg,0.533165454864502
14,frye womens harness americana short boot ,B00B194XUW,https://images-na.ssl-images-amazon.com/images/I/81snmwXMqgL._AC_UY395_.jpg,frye womens harness 8r boot ,B0013EQ27C,https://images-na.ssl-images-amazon.com/images/I/81WlAm4iLqS._AC_UY695_.jpg,0.650373637676239
15,frye womens harness americana short boot ,B00B194XUW,https://images-na.ssl-images-amazon.com/images/I/81snmwXMqgL._AC_UY395_.jpg,frye womens harness 15r boot ,B0059RP8L0,https://images-na.ssl-images-amazon.com/images/I/81hnfO08NvL._AC_UY695_.jpg,0.650373637676239
16,frye womens harness americana short boot ,B00B194XUW,https://images-na.ssl-images-amazon.com/images/I/81snmwXMqgL._AC_UY395_.jpg,frye womens harness 12r boot ,B000IV6NIO,https://images-na.ssl-images-amazon.com/images/I/81skoXAOpVL._AC_UY695_.jpg,0.650373637676239
17,frye womens harness americana short boot ,B00B194XUW,https://images-na.ssl-images-amazon.com/images/I/81snmwXMqgL._AC_UY395_.jpg,frye womens melissa harness insidezip boot ,B00AX4LCS2,https://images-na.ssl-images-amazon.com/images/I/71mGdYwbNZL._AC_UY695_.jpg,0.6677939891815186
19,us handmade fashion resting pink roses tattoo rockabilly gothic bifold womens wallet alexander henry cotton fabric ww1041 ,B00FX8PX0Q,https://images-na.ssl-images-amazon.com/images/I/81yObt8r0aL._AC_UX395_.jpg,us handmade fashion skulls rose tattoo rockabilly pattern cross body shoulder bag style handbag purse alexander henry cotton fabric csop 1151 ,B00EFGMTMC,,0.6050849556922913
20,us handmade fashion resting pink roses tattoo rockabilly gothic bifold womens wallet alexander henry cotton fabric ww1041 ,B00FX8PX0Q,https://images-na.ssl-images-amazon.com/images/I/81yObt8r0aL._AC_UX395_.jpg,us handmade fashion skulls rose tattoo bifold womens wallet ww 10062 ,B00B0GAGDY,https://images-na.ssl-images-amazon.com/images/I/815c-MT8IyL._AC_SX679_.jpg,0.7656015157699585
21,us handmade fashion resting pink roses tattoo rockabilly gothic bifold womens wallet alexander henry cotton fabric ww1041 ,B00FX8PX0Q,https://images-na.ssl-images-amazon.com/images/I/81yObt8r0aL._AC_UX395_.jpg,true love forever faux leather skull tattoo style single strap hobo purse handbag purple colorful rhinestones accents 16h x 135l x 45d ,B00AKZTIEO,https://images-na.ssl-images-amazon.com/images/I/41wPYJ8yhGL._AC_.jpg,0.7790970206260681
22,us handmade fashion resting pink roses tattoo rockabilly gothic bifold womens wallet alexander henry cotton fabric ww1041 ,B00FX8PX0Q,https://images-na.ssl-images-amazon.com/images/I/81yObt8r0aL._AC_UX395_.jpg,atlantis womens cateye sunglasses handmade elegant frames ,B00REL4F4U,https://images-na.ssl-images-amazon.com/images/I/61a2TB55pQL._AC_UX679_.jpg,0.8492051362991333
